model,roc_auc,accuracy,precision,recall,f1
Stacking Ensemble,0.8486806742378301,0.7543776620918126,0.5243055555555556,0.8074866310160428,0.6357894736842106
Voting Ensemble,0.8483430040244777,0.754850922858495,0.52479815455594,0.8110516934046346,0.6372549019607843
Logistic Regression,0.8479456098278112,0.7453857075248462,0.5132641291810842,0.7932263814616756,0.623249299719888
XGBoost (Tuned),0.8455262142345225,0.7534311405584477,0.5230414746543779,0.8092691622103387,0.635409377186844
Random Forest (Tuned),0.8426204127386662,0.7666824420255561,0.5409638554216868,0.8003565062388592,0.6455787203450755
Random Forest,0.8403635352922801,0.7699952673923331,0.5474083438685209,0.7718360071301248,0.6405325443786982
LightGBM,0.835633280959994,0.7567439659252247,0.528415961305925,0.7789661319073083,0.6296829971181557
XGBoost,0.8348631861366852,0.754850922858495,0.525934861278649,0.7771836007130125,0.6273381294964029
