model,roc_auc,accuracy,precision,recall,f1
Logistic Regression,0.8479456098278112,0.7453857075248462,0.5132641291810842,0.7932263814616756,0.623249299719888
Random Forest,0.8403635352922801,0.7699952673923331,0.5474083438685209,0.7718360071301248,0.6405325443786982
LightGBM,0.835633280959994,0.7567439659252247,0.528415961305925,0.7789661319073083,0.6296829971181557
XGBoost,0.8348631861366852,0.754850922858495,0.525934861278649,0.7771836007130125,0.6273381294964029
